length,accuracy,f1,precision,recall,roc
1,0.5616,0.5613,0.5644,0.5616,0.5632
2,0.6027,0.5974,0.6034,0.6027,0.5981
3,0.5205,0.5202,0.5200,0.5205,0.5192
4,0.6027,0.6014,0.6021,0.6027,0.6004
5,0.6027,0.6024,0.6024,0.6027,0.6015
6,0.5616,0.5608,0.5608,0.5616,0.5598
7,0.6301,0.6289,0.6298,0.6301,0.6278
8,0.5890,0.5821,0.5897,0.5890,0.5838
9,0.5479,0.5445,0.5462,0.5479,0.5444
10,0.5342,0.5264,0.5315,0.5342,0.5289
11,0.5205,0.5169,0.5182,0.5205,0.5169
12,0.4932,0.4893,0.4901,0.4932,0.4895
13,0.5753,0.5721,0.5743,0.5753,0.5718
14,0.5616,0.5506,0.5613,0.5616,0.5553
15,0.5342,0.5334,0.5333,0.5342,0.5323
16,0.4932,0.4864,0.4887,0.4932,0.4883
17,0.5479,0.5419,0.5460,0.5479,0.5432
