class,fea11,fea13,fea6,fea3,fea10,fea7,fea15
1.0,0.10482949,0.15003406,0.04934916,-0.39415453,-0.15709896,0.10180947,-0.13365499
1.0,0.00748894,-0.01230293,-0.10512456,-0.13593993,0.00914577,0.08373933,0.05911030000000001
1.0,-0.00769798,0.02675327,0.10039937,-0.0216868,0.06425813,0.21946561,-0.01723611
1.0,-0.19131592,0.06875698,0.01979489,-0.19306898,0.29805929,-0.21674664,0.02488186
1.0,-0.10852759,0.00383079,0.19822247,-0.07506058,0.09904381,-0.13728691,-0.03508916
1.0,0.05045003,0.00905929,0.06920885,-0.10243479,-0.03305771,0.07970208,-0.0285888
1.0,-0.11929743,0.01152957,0.08605285,-0.00659918,0.07828389999999999,0.02061959,0.05670711
1.0,0.10748298,0.01234531,-0.01216128,0.00819694,-0.0233832,0.05256139,-0.04808204
1.0,-0.13445921,0.007360899999999998,0.12927051,-0.37460249,0.07006905,-0.24387041,0.049402
1.0,2.799e-05,0.10819129,-0.01511101,-0.13814429,0.08241609,-0.13794419,-0.00163546
1.0,0.11287332,-0.06869582,0.05949740000000001,-0.14479294,-0.04403286,0.05491243,0.06044607
1.0,0.01285557,0.05639782,0.04385743,-0.12243016,-0.06100664,-0.05435072,-0.06445726
1.0,0.03905335,0.12371386,0.04075731,-0.18071861,0.01542914,0.01418231,-0.09236469
1.0,0.00763973,-0.08494765,0.02551617,-0.13230384,-0.14661551,-0.02312726,0.01357787
1.0,-0.08581160000000003,-0.04218693,0.06456612,0.0381995,0.00490453,0.06918633,0.03902337
1.0,0.03574572,-0.02282175,0.14323525,-0.25428931,-0.01398561,0.08485738,0.03729622
1.0,-0.00402692,-0.09742883,-0.01021053,0.01952929,-0.09316809,-0.10808743,0.10696214
1.0,-0.12276572,0.15230901,0.04310134,-0.28046215,0.14873656,0.11728629,-0.09981903
1.0,-0.04906799,0.00450924,0.10259216,-0.22061429,0.04798947,0.04315296,0.06671108
1.0,-0.07669757,-0.02090288,0.09303263,0.04984209,0.08738575,-0.03840886,-0.02024018
1.0,-0.033536,0.14964053,0.1506389,-0.00978122,0.0008773,-0.00628448,-0.1086812
1.0,-0.07439257,0.04642133,-0.03082168,-0.27856082,0.08684093,-0.03404891,-0.07925394
1.0,0.10027733,-0.0064593,-0.02913527,0.09553129,-0.00568353,-0.04844193,0.04296239
1.0,-0.04612736,-0.14221005,0.03835381,-0.01972214,-0.03773537,-0.16288024,0.03266495
1.0,0.00521394,-0.03142185,0.09017602,-0.00825753,-0.07608418,-0.01511552,0.08826705
1.0,-0.03488161,-0.14040447,0.100654,0.05590949,0.06438164,0.21382743,0.06276536
1.0,0.02749523,-0.0071515,0.02193835,-0.10092615,-0.06957123,0.07070598,-0.01963459
1.0,-0.01861047,0.0327608,0.08538431,0.04849632,-0.08586179,-0.09269455,0.00816217
1.0,0.12540426,-0.04763001,-0.03805387,-0.02149008,-0.18332119,-0.01525783,0.02541684
1.0,-0.02509477,0.03191928,0.032925800000000005,0.00378562,0.07914528,0.07175378,-0.02358559
1.0,0.13403573,0.10675211,-0.0863455,-0.16812156,-0.06181639,0.02079183,-0.10473822
1.0,0.09687279,0.03106456,-0.14067526,-0.041112800000000005,-0.07687573,-0.11106747,-0.00097348
1.0,0.12330127,0.00668513,-0.07177725,0.01532217,-0.05259898,0.03868462,-0.01340318
1.0,-0.12877239,-0.04794163,-0.08642782,-0.03582181,0.16563838,0.09616895,0.10023715
1.0,0.00215436,0.09212187,0.00257063,-0.03250498,-0.04473335,-0.1308001,-0.06313358
0.0,0.06851532,-0.04984393,-0.01369804,0.00185689,-0.08320616,-0.08385566,-0.02618153
0.0,-0.01768249,0.08750059,0.13842951,0.07882265,0.03047208,-0.01560497,-0.12284302
0.0,-0.00225463,-0.06092623,-0.1290983,0.05159739,0.00081675,-0.07703067,-0.02440208
0.0,0.07303275,-0.11589507,-0.20884843,0.01951092,-0.14611942,-0.19915926,0.02095091
0.0,0.07846134,-0.03030474,-0.06699491,0.08231871,-0.09278566,0.03478106,0.0765753
0.0,0.01421505,-0.08566036,-0.04431616,-0.03834715,-0.05376557,-0.171532,-0.00630857
0.0,0.07105749,-0.17905626,0.02945071,0.21861706,-0.12399323,-0.06302437,0.04520469
0.0,0.01451238,0.02926959,-0.07566616,-0.25188371,-0.02616561,-0.20014672,-0.04091424
0.0,-0.01275619,-0.07945665,-0.03291861,0.03516757,0.07205988,-0.09272396,-0.01232999
0.0,-0.02101902,0.02328157,0.02275304,-0.05047037,-0.03879604,-0.04796599,-0.01383839
0.0,0.03580377,0.03018035,-0.0240197,0.03694541,0.02019736,0.039572300000000005,-0.10098704
0.0,0.06594033,0.05574013,-0.03693937,0.05586292,-0.07271672,-0.07703034,0.03342889
0.0,0.01911671,0.02913996,0.1143543,-0.00401073,-0.00851435,-0.10903162,0.00827079
0.0,0.08354509,0.15762084,-0.12504501,-0.29159561,-0.14942550000000002,-0.04053631,-0.15851956
0.0,0.05445934,0.09186878,0.12634656,0.10030102,-0.03874331,0.04631251,-0.0372248
0.0,-0.01718627,0.11551533,0.12607938,-0.09385633,0.02791369,0.18588261,-0.1629141
0.0,0.13343970000000002,0.01194567,-0.01128937,0.05244198,-0.1296961,-0.00895726,-0.04780926
0.0,-0.08910391,-0.08409452,0.11714271,0.0467176,0.1087862,-0.02567744,0.05011094
0.0,0.01307082,-0.09059528,0.05088165,0.10323553,-0.06076355,0.05409239,0.03820455
0.0,0.01732785,0.06873293,-0.01554289,-0.18085153,0.04831089,0.03414263,-0.15248996
0.0,-0.10788923,-0.08193541,0.03426733,-0.07800739,0.07605354,0.022583900000000004,0.04588609
0.0,-0.03703754,-0.11698166,0.09906372,0.09838597,0.07889009,0.01250035,0.08605817
0.0,0.00271961,0.07336073,0.08572225,0.13793408,0.03087602,0.08036767,-0.01433977
0.0,0.09280412,-0.19143596,-0.04735178,0.20400404,-0.05477774,-0.02643262,0.17214084
0.0,-0.09860995,0.0248717,-0.00725993,0.08325149,0.10013163,0.01449471,-0.02602091
0.0,0.03241796,-0.03567119,0.01151848,0.07625424,-0.04892513,-0.16072871,-0.00989258
0.0,0.17994622,0.15920328,0.02393851,-0.16682771,-0.10122122,0.19017092,-0.1653675
0.0,0.09645665,-0.1487876,-0.18192211,0.05716312,-0.04365297,-0.01265699,0.11125962
0.0,-0.11025522,0.03759339,-0.00791348,0.00268982,-0.0332747,0.18198545,-0.10035734
0.0,0.00044546,0.06064476,0.13366417,-0.02639311,-0.02338419,0.07215888,-0.15738642
0.0,0.00584341,-0.03458201,0.02432945,0.05044467,0.02806922,0.01257634,-0.03921075
0.0,-0.03833627,-0.06334237,0.18231714,0.09159063,0.00148821,-0.00624046,-0.0096438
0.0,-0.06013006,-0.06872453,-0.00388296,0.19725612,0.09492773,-0.04928934,0.08864288
0.0,0.07193616,-0.06802751,-0.05649885,0.00798829,-0.05767893,-0.11803191,0.04821525
0.0,-0.02732866,-0.02911823,0.01417684,-0.00569886,-0.00064977,0.06139164,-0.0038724
0.0,0.03958379,-0.16083392,-0.02340715,-0.09585963,-0.03146197,0.00636429,0.11620945
0.0,0.07675782,-0.10220006,-0.03168742,-0.07913641,-0.14466824,0.04807359,0.09700956
0.0,-0.0292013,-0.11197573,0.04442981,0.03144028,-0.04374086,-0.02911413,0.04722645
