class,fea18,fea13,fea7,fea12,fea25,fea24,fea10,fea11,fea23,fea17,fea16,fea15,fea8,fea2,fea9,fea4,fea5,fea19,fea21,fea20,fea3,fea22,fea26,fea14,fea1,fea6,27
1.0,0.45884772,0.00032639,0.00043519,0.00016319,0.0324106,0.45981017,0.00016319,0.00027199,3.765e-05,0.00013842,0.00104112,0.00054398,0.00054398,0.00059838,0.00021759,0.00016319,0.00016319,0.03209105,9.000000000000002e-07,0.00495333,0.0001088,0.00103934,0.00495155,0.00038079,0.0001088,5.44e-05,-9e-08
1.0,0.46055685,0.00023911,0.00025904,0.00019926,0.03120639,0.46090403,0.00021919,0.00027897,6.97e-06,5.437e-05,0.0010044,0.00065756,0.00025904,0.00025904,0.00023911,0.00027897,0.00015941,0.03085693,1.16e-06,0.00487252,0.00029889,0.00100085,0.00487342,0.0003786,0.00019926,0.00013948,-6.2e-07
1.0,0.46058861,0.00026661,0.00021329,0.00010664,0.03127662,0.46107903,0.00010664,0.00037325,0.0001204,0.00013998,0.00102038,0.00021329,0.00031993,0.00042658,0.00031993,0.00053322,0.00015997,0.03043641,2.11e-06,0.00483904,0.00031993,0.00101919,0.00483851,0.00053322,0.00021329,0.00010664,7.1e-07
1.0,0.46144079,0.00016269999999999994,0.00037963,0.00010847,0.03024419,0.46157957,0.00021693,0.00021693,1.533e-05,5.323e-05,0.00098562,0.00037963,0.00021693,0.00016269999999999994,0.00037963,0.00032539999999999994,0.00027117,0.0305282,-9e-08,0.00477893,0.00032539999999999994,0.00098159,0.00478195,0.0006507999999999999,0.00016269999999999994,0.0,8.4e-07
1.0,0.46108434,0.00027744,0.00033292,0.00049939,0.03061188,0.46122788,0.00022195,0.00049939,1.273e-05,6.464e-05,0.00099204,0.00055487,0.00022195,0.00033292,0.00011097,5.549e-05,0.00011097,0.03056405,-1.6e-07,0.00489828,0.00033292,0.00098626,0.00489684,0.00038841,0.00011097,5.549e-05,2.7e-07
1.0,0.46260555,0.00017398,0.00034797,0.00028997,0.0292534,0.46305814,5.799e-05,0.00040596,3.26e-05,8.063e-05,0.00095212,0.00040596,0.00011599,0.00034797,0.00040596,0.00040596,5.799e-05,0.02883324,2e-07,0.0047967,0.00028997,0.00095031,0.00479753,0.00057995,0.00017398,0.0,1e-08
1.0,0.46081292,0.00027386,0.00016431,0.0003834,0.03119474,0.46110914,0.00021909,0.0003834,3.831e-05,9.505e-05,0.00096838,0.00098589,0.00021909,0.00021909,5.477e-05,0.00021909,5.477e-05,0.03044882,2e-06,0.0048530000000000005,0.00043817,0.00096678,0.00485484,0.0003834,0.00010954,5.477e-05,4.5e-07
1.0,0.45921027,0.00034237,0.00062768,0.00011412,0.03243955,0.45941158,0.00022825,0.00028531,6.434e-05,0.00011755,0.00104986,0.00051355,0.00051355,0.00051355,0.00022825,0.00011412,0.00017118,0.03206379,9.7e-07,0.00495388,0.0,0.00104923,0.00496005,0.00051355,0.00017118,0.0,-1.3e-07
1.0,0.46006079,0.00022449,0.00056123,0.00039286,0.03184407,0.45998991,0.00028061,0.00039286,0.00013030000000000002,0.00016658,0.00102993,5.612e-05,0.00022449,0.00039286,0.00033674,0.00028061,0.00016837,0.03147019,2.7e-07,0.004841,0.00022449,0.00102416,0.00483909,0.00056123,0.00028061,0.0,1.62e-06
1.0,0.45963556,0.00024401,0.00034161,0.00019521,0.03186745,0.46011121,0.00029281,0.00043921,0.00011192,0.00011585,0.00106459,0.00024401,0.00024401,0.00039041,0.00024401,0.00043921,0.00029281,0.03165573,1.11e-06,0.004867600000000001,0.0001464,0.00106259,0.00486928,0.00048802,0.00039041,9.76e-05,9.4e-07
1.0,0.46046214,0.00025838,0.00025838,0.00021532,0.0315892,0.46066864,0.00025838,0.0004737,0.00011241,0.00012662,0.00102251,0.00038757,0.00025838,0.00025838,0.00021532,0.00038757,8.613e-05,0.03063586,1.74e-06,0.00485509,0.00025838,0.00101963,0.00485401,0.00055982,0.00030144,0.00012919,1.34e-06
1.0,0.46164528,0.00027276,0.00027276,0.00060007,0.03139053,0.46046857,0.0001091,0.00038187,9.506e-05,7.669e-05,0.00096952,0.00049097,0.0001091,0.00016366,0.00016366,0.00027276,0.00021821,0.03023421,8.9e-07,0.00478382,0.00065463,0.00096871,0.00478405,0.00049097,0.00016366,0.0,2.9e-07
