length,accuracy,f1,precision,recall,roc
1,0.4793,0.4706,0.4930,0.4793,0.5943
2,0.4463,0.4415,0.4392,0.4463,0.5788
3,0.4132,0.4126,0.4125,0.4132,0.5552
4,0.5207,0.5209,0.5223,0.5207,0.6396
5,0.5372,0.5360,0.5349,0.5372,0.6568
6,0.5702,0.5651,0.5750,0.5702,0.6740
7,0.5124,0.5133,0.5143,0.5124,0.6353
8,0.5620,0.5644,0.5700,0.5620,0.6689
9,0.5455,0.5417,0.5479,0.5455,0.6550
10,0.5041,0.5031,0.5024,0.5041,0.6300
11,0.5207,0.5197,0.5206,0.5207,0.6390
12,0.5620,0.5626,0.5645,0.5620,0.6719
13,0.5289,0.5296,0.5363,0.5289,0.6443
14,0.5702,0.5719,0.5772,0.5702,0.6767
15,0.5207,0.5222,0.5416,0.5207,0.6331
16,0.5041,0.5053,0.5144,0.5041,0.6241
17,0.5455,0.5496,0.5591,0.5455,0.6565
18,0.4876,0.4922,0.4996,0.4876,0.6151
19,0.4628,0.4708,0.4885,0.4628,0.5942
20,0.5041,0.5066,0.5098,0.5041,0.6296
