length,accuracy,f1,precision,recall,roc
1,0.6769,0.6437,0.6240,0.6769,0.5036
2,0.6769,0.6437,0.6240,0.6769,0.5036
3,0.6769,0.6437,0.6240,0.6769,0.5036
4,0.6769,0.6437,0.6240,0.6769,0.5036
5,0.6769,0.6437,0.6240,0.6769,0.5036
6,0.6769,0.6437,0.6240,0.6769,0.5036
7,0.6982,0.6687,0.6539,0.6982,0.5341
8,0.6964,0.6679,0.6532,0.6964,0.5338
9,0.6927,0.6639,0.6485,0.6927,0.5290
10,0.6957,0.6677,0.6530,0.6957,0.5338
11,0.6942,0.6649,0.6496,0.6942,0.5300
12,0.6934,0.6644,0.6491,0.6934,0.5295
13,0.6901,0.6612,0.6454,0.6901,0.5258
14,0.6942,0.6655,0.6504,0.6942,0.5309
15,0.6938,0.6652,0.6501,0.6938,0.5307
16,0.6927,0.6636,0.6481,0.6927,0.5285
17,0.6971,0.6650,0.6493,0.6971,0.5286
18,0.6920,0.6628,0.6472,0.6920,0.5275
19,0.6912,0.6623,0.6466,0.6912,0.5270
20,0.6938,0.6638,0.6482,0.6938,0.5283
