length,accuracy,f1,precision,recall,roc
1,0.4444,0.3419,0.2778,0.4444,0.4000
2,0.4444,0.4300,0.4259,0.4444,0.4250
3,0.5556,0.5556,0.5556,0.5556,0.5500
4,0.5556,0.5556,0.5556,0.5556,0.5500
5,0.5556,0.5556,0.5556,0.5556,0.5500
6,0.5556,0.5556,0.5556,0.5556,0.5500
7,0.5556,0.5556,0.5556,0.5556,0.5500
8,0.5556,0.5556,0.5556,0.5556,0.5500
9,0.6667,0.6407,0.8095,0.6667,0.7000
10,0.6667,0.6407,0.8095,0.6667,0.7000
11,0.6667,0.6667,0.6833,0.6667,0.6750
12,0.6667,0.6407,0.8095,0.6667,0.7000
13,0.6667,0.6407,0.8095,0.6667,0.7000
14,0.6667,0.6407,0.8095,0.6667,0.7000
15,0.6667,0.6667,0.6833,0.6667,0.6750
16,0.5556,0.5444,0.5926,0.5556,0.5750
17,0.7778,0.7722,0.8519,0.7778,0.8000
18,0.7778,0.7722,0.8519,0.7778,0.8000
19,0.6667,0.6407,0.8095,0.6667,0.7000
20,0.6667,0.6407,0.8095,0.6667,0.7000
21,0.6667,0.6407,0.8095,0.6667,0.7000
22,0.6667,0.6407,0.8095,0.6667,0.7000
23,0.7778,0.7722,0.8519,0.7778,0.8000
24,0.7778,0.7722,0.8519,0.7778,0.8000
25,0.6667,0.6667,0.6833,0.6667,0.6750
