length,accuracy,f1,precision,recall,roc
1,0.6017,0.5802,0.6279,0.6017,0.6017
2,0.6007,0.5935,0.6084,0.6007,0.6007
3,0.6246,0.6226,0.6273,0.6246,0.6246
4,0.6027,0.6015,0.6040,0.6027,0.6027
5,0.6256,0.6255,0.6257,0.6256,0.6256
6,0.6355,0.6355,0.6355,0.6355,0.6355
7,0.6833,0.6833,0.6833,0.6833,0.6833
8,0.6911,0.6911,0.6912,0.6911,0.6911
9,0.7099,0.7098,0.7102,0.7099,0.7099
10,0.7143,0.7143,0.7144,0.7143,0.7143
11,0.7205,0.7205,0.7206,0.7205,0.7205
12,0.7263,0.7262,0.7264,0.7263,0.7263
13,0.7621,0.7621,0.7623,0.7621,0.7621
14,0.7700,0.7700,0.7700,0.7700,0.7700
15,0.7724,0.7723,0.7724,0.7724,0.7724
16,0.7696,0.7696,0.7699,0.7696,0.7696
17,0.7741,0.7740,0.7741,0.7741,0.7741
18,0.7751,0.7751,0.7751,0.7751,0.7751
19,0.7693,0.7693,0.7693,0.7693,0.7693
20,0.7669,0.7669,0.7669,0.7669,0.7669
21,0.7724,0.7723,0.7724,0.7724,0.7724
22,0.7737,0.7737,0.7737,0.7737,0.7737
23,0.7765,0.7764,0.7765,0.7765,0.7765
24,0.7843,0.7843,0.7843,0.7843,0.7843
25,0.7891,0.7891,0.7891,0.7891,0.7891
26,0.7829,0.7829,0.7830,0.7829,0.7829
27,0.7887,0.7887,0.7887,0.7887,0.7887
28,0.7959,0.7959,0.7959,0.7959,0.7959
29,0.7884,0.7884,0.7884,0.7884,0.7884
30,0.7918,0.7918,0.7918,0.7918,0.7918
31,0.7993,0.7993,0.7993,0.7993,0.7993
32,0.7952,0.7952,0.7952,0.7952,0.7952
33,0.7925,0.7925,0.7925,0.7925,0.7925
34,0.7908,0.7908,0.7908,0.7908,0.7908
35,0.7935,0.7935,0.7935,0.7935,0.7935
36,0.7952,0.7952,0.7953,0.7952,0.7952
37,0.7887,0.7887,0.7888,0.7887,0.7887
38,0.7925,0.7925,0.7925,0.7925,0.7925
39,0.8027,0.8027,0.8028,0.8027,0.8027
40,0.7935,0.7935,0.7936,0.7935,0.7935
41,0.7997,0.7997,0.7997,0.7997,0.7997
42,0.7959,0.7959,0.7959,0.7959,0.7959
43,0.8003,0.8003,0.8003,0.8003,0.8003
44,0.7891,0.7891,0.7891,0.7891,0.7891
45,0.8000,0.8000,0.8000,0.8000,0.8000
46,0.7949,0.7949,0.7949,0.7949,0.7949
47,0.8020,0.8020,0.8021,0.8020,0.8020
48,0.7945,0.7945,0.7945,0.7945,0.7945
49,0.7962,0.7962,0.7963,0.7962,0.7962
50,0.8020,0.8020,0.8020,0.8020,0.8020
51,0.8003,0.8003,0.8004,0.8003,0.8003
52,0.7966,0.7966,0.7967,0.7966,0.7966
53,0.7997,0.7997,0.7997,0.7997,0.7997
54,0.8014,0.8014,0.8014,0.8014,0.8014
55,0.7980,0.7979,0.7980,0.7980,0.7980
56,0.7973,0.7973,0.7973,0.7973,0.7973
57,0.7980,0.7979,0.7980,0.7980,0.7980
58,0.8034,0.8034,0.8034,0.8034,0.8034
59,0.8041,0.8041,0.8041,0.8041,0.8041
60,0.7986,0.7986,0.7987,0.7986,0.7986
61,0.7983,0.7983,0.7984,0.7983,0.7983
62,0.7997,0.7996,0.7997,0.7997,0.7997
63,0.8014,0.8014,0.8014,0.8014,0.8014
64,0.7922,0.7921,0.7922,0.7922,0.7922
65,0.8010,0.8010,0.8011,0.8010,0.8010
66,0.8048,0.8048,0.8049,0.8048,0.8048
67,0.8017,0.8017,0.8018,0.8017,0.8017
68,0.8044,0.8044,0.8048,0.8044,0.8044
69,0.8010,0.8010,0.8012,0.8010,0.8010
70,0.8024,0.8024,0.8025,0.8024,0.8024
71,0.8010,0.8010,0.8012,0.8010,0.8010
72,0.7980,0.7979,0.7980,0.7980,0.7980
73,0.7997,0.7996,0.7999,0.7997,0.7997
74,0.8003,0.8002,0.8009,0.8003,0.8003
75,0.7962,0.7962,0.7964,0.7962,0.7962
76,0.8058,0.8057,0.8061,0.8058,0.8058
77,0.7990,0.7989,0.7992,0.7990,0.7990
78,0.8061,0.8061,0.8063,0.8061,0.8061
79,0.8078,0.8078,0.8080,0.8078,0.8078
80,0.8044,0.8044,0.8046,0.8044,0.8044
81,0.8007,0.8006,0.8012,0.8007,0.8007
82,0.8034,0.8034,0.8036,0.8034,0.8034
83,0.8061,0.8061,0.8063,0.8061,0.8061
84,0.8099,0.8099,0.8102,0.8099,0.8099
85,0.8034,0.8034,0.8036,0.8034,0.8034
86,0.8048,0.8047,0.8050,0.8048,0.8048
87,0.8082,0.8082,0.8084,0.8082,0.8082
88,0.8027,0.8027,0.8028,0.8027,0.8027
89,0.8085,0.8085,0.8086,0.8085,0.8085
90,0.8089,0.8088,0.8092,0.8089,0.8089
91,0.8072,0.8071,0.8074,0.8072,0.8072
92,0.8154,0.8153,0.8156,0.8154,0.8154
93,0.8092,0.8092,0.8093,0.8092,0.8092
94,0.8061,0.8061,0.8063,0.8061,0.8061
95,0.8041,0.8041,0.8043,0.8041,0.8041
96,0.8020,0.8020,0.8023,0.8020,0.8020
97,0.8065,0.8065,0.8066,0.8065,0.8065
98,0.8010,0.8010,0.8013,0.8010,0.8010
99,0.8051,0.8051,0.8053,0.8051,0.8051
100,0.8078,0.8078,0.8080,0.8078,0.8078
101,0.8061,0.8061,0.8063,0.8061,0.8061
102,0.8068,0.8068,0.8072,0.8068,0.8068
103,0.8089,0.8088,0.8091,0.8089,0.8089
104,0.8034,0.8034,0.8036,0.8034,0.8034
105,0.8119,0.8119,0.8124,0.8119,0.8119
106,0.8116,0.8116,0.8118,0.8116,0.8116
107,0.8078,0.8078,0.8081,0.8078,0.8078
108,0.8065,0.8064,0.8068,0.8065,0.8065
109,0.8150,0.8150,0.8153,0.8150,0.8150
110,0.8106,0.8105,0.8110,0.8106,0.8106
111,0.8092,0.8092,0.8096,0.8092,0.8092
112,0.8085,0.8085,0.8090,0.8085,0.8085
113,0.8092,0.8092,0.8095,0.8092,0.8092
114,0.8092,0.8091,0.8097,0.8092,0.8092
115,0.8051,0.8051,0.8054,0.8051,0.8051
116,0.8072,0.8071,0.8074,0.8072,0.8072
117,0.8123,0.8122,0.8126,0.8123,0.8123
118,0.8058,0.8058,0.8061,0.8058,0.8058
119,0.8109,0.8109,0.8112,0.8109,0.8109
120,0.8109,0.8109,0.8111,0.8109,0.8109
121,0.8126,0.8126,0.8128,0.8126,0.8126
122,0.8157,0.8157,0.8159,0.8157,0.8157
123,0.8092,0.8092,0.8096,0.8092,0.8092
124,0.8106,0.8105,0.8108,0.8106,0.8106
125,0.8055,0.8054,0.8057,0.8055,0.8055
126,0.8089,0.8088,0.8090,0.8089,0.8089
127,0.8096,0.8095,0.8100,0.8096,0.8096
